technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
Alkaline electrolyzer large size,,,,0.0,,2.8,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.38,,0.0,,,,,,544.7764,40.0,,,,,,,,,,,,,,,,,0.3033,56.116947842665475
Alkaline electrolyzer medium size,,,,0.0,,2.3,,,0.3033,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.416,,0.0,,,,,,642.553,20.0,,,,,,,,,,,,,,,,,0.3033,75.43117661510615
Alkaline electrolyzer small size,,,,0.0,,2.3,,,0.2455,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,1.41,,0.0,,,,,,740.1853,20.0,,,,,,,,,,,,,,,,,0.2455,86.89251795914942
Ammonia cracker,,,,0.0,,4.3,,,0.0,1.46,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1418766.8215,25.0,,,,,,,,,,,,,,,,,0.0,182752.08809293478
BEV Bus city,,,,0.0,,0.0003,346.5517,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8585,,,,,,,,,0.0,,,,,,279738.9,12.0,,,,,,,,,,,,,,,,,0.1197,35220.523030867895
BEV Coach,,,,0.0,,0.0002,358.6207,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8446,,,,,,,,,0.0,,,,,,381004.3818,12.0,,,,,,,,,,,,,,,,,0.1197,47969.97136366027
BEV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,555.1724,,0.1197,,,,,,,,,,,,,,0.07,,,,1.3936,,,,,,,,,0.0,,,,,,190126.4629,10.5,,,,,,,,,,,,,,,,,0.1197,26170.430609300234
BEV Truck Solo max 26 tons,,,,0.0,,0.0002,382.7586,,0.1197,,,,,,,,,,,,,,0.07,,,,0.8755,,,,,,,,,0.0,,,,,,355094.772,13.8,,,,,,,,,,,,,,,,,0.1197,40957.481637631274
BEV Truck Trailer max 56 tons,,,,0.0,,0.0003,710.3448,,0.1197,,,,,,,,,,,,,,0.07,,,,1.5446,,,,,,,,,0.0,,,,,,210883.6844,13.8,,,,,,,,,,,,,,,,,0.1197,24324.040217586924
Battery electric (passenger cars),,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,0.68,,,,,,,,,0.0,,,,,,30960.6072,15.0,,,,,,,,,,,,,,,,,0.0,3677.9537128392794
Battery electric (trucks),,,,0.0,,15.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,171500.4396,15.0,,,,,,,,,,,,,,,,,0.0,44554.89234193963
BioSNG,,0.3402,0.6598,0.0,0.2419,1.6375,,,2.273,,,,,0.9,,,,,,,,,0.07,,,,0.63,,,,,,,,,0.0,,,,,,2139.2794,25.0,,,,,,,,,,,,,,,,,2.273,218.60337196851518
BtL,,0.2688,0.7312,0.0,0.2681,2.6667,,,1.4207,,,,,0.9,,,,,,,,,0.07,,,,0.3833,,,,,,,,,0.0,,,,,,3928.6362,25.0,,,,,,,,,,,,,,,,,1.4207,441.88324583923026
CCGT,,,,0.198,,3.3494,,,5.6104,,2.0,0.15,,,,,,,,,,,0.07,,,,0.58,,,,,,,,,28.4158,,,,,,1108.7166,25.0,,,,,,,,,,,,,,,,,54.60315862068966,132.2748986975378
CH4 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2080.8385,20.0,,,,,,,,,,,,,,,,,0.0,231.7906885142075
CH4 (g) pipeline,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,109.6647,50.0,,,,,,,,,,,,,,,,,0.0,9.591258161806213
CH4 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.01,,0.0,,,,,,150.6153,30.0,,,,,,,,,,,,,,,,,0.0,16.656004340747064
CH4 (l) transport ship,,,,0.0,,3.5,,,0.0,,,,58300.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,201706269.4992,25.0,,,,,,,,,,,,,,,,,0.0,24368238.744849317
CH4 evaporation,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,116.0342,30.0,,,,,,,,,,,,,,,,,0.0,13.411975862288978
CH4 liquefaction,,,,0.0,,3.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.036,,0.0,,,,,,307.4924,25.0,,1.0,,,,,,,,,,,,,,,0.0,37.14831588542379
CO2 dense phase compression,,,,0.0,,5.0,,,0.0,,,,,,,1.0,,,,,,,0.07,,,,1.0,,,,,,,0.1051,,0.0,,,,,,34120.2,25.0,,,,,,,,,,,,,,,,,0.0,4633.882009672555
CO2 liquefaction,,,,0.0,,5.0,,,0.0,,,,,,,1.0,,,,,,,0.07,,,,1.0,,,,,,,0.123,,0.0,,,0.0067,,,21.2764,25.0,,,,,,,,,,,,,,,,,0.0,2.8895588885937697
CO2 pipeline,,,,0.0,,0.9,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2671.6062,50.0,,,,,,,,,,,,,,,,,0.0,217.628639081083
CO2 storage tank,,,,0.0,,1.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3268.743,25.0,,,,,,,,,,,,,,,,,0.0,313.1799574914301
CO2 submarine pipeline,,,,0.0,,0.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5343.2124,25.0,,,,,,,,,,,,,,,,,0.0,485.21988166387405
Charging infrastructure fast (purely) battery electric vehicles passenger cars,,,,0.0,,1.6,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,564409.9584,30.0,,,,,,,,,,,,,,,,,0.0,54514.32798771188
Charging infrastructure fuel cell vehicles passenger cars,,,,0.0,,2.2,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2247980.9894,30.0,,,,,,,,,,,,,,,,,0.0,230612.28486389536
Charging infrastructure fuel cell vehicles trucks,,,,0.0,,2.2,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,2247980.9894,30.0,,,,,,,,,,,,,,,,,0.0,230612.28486389536
Charging infrastructure slow (purely) battery electric vehicles passenger cars,,,,0.0,,1.8,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1263.6213,30.0,,,,,,,,,,,,,,,,,0.0,124.57587936703489
Compressed-Air-Adiabatic-bicharger,,,,0.0,,0.9265,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7211,,,,,,,,,0.0,,,,,,1189666.0381,60.0,,,,,,,,,,,,,,,,,0.0,95761.24634053612
Compressed-Air-Adiabatic-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6850.9515,60.0,,,,,,,,,,,,,,,,,0.0,517.4470607331965
Concrete-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,,,,,0.0,15951.309590398287
Concrete-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4343,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,,,,,0.0,57958.74276823216
Concrete-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,30231.6454,35.0,,,,,,,,,,,,,,,,,0.0,2434.9159639297745
"Container feeder, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7754,,,,,,,,,0.0,,,,,,48360651.075,30.0,,,,,,,,,,,,,,,,,0.0,3897210.941590003
"Container feeder, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7718,,,,,,,,,0.0,,,,,,43964228.25,30.0,,,,,,,,,,,,,,,,,0.0,3542919.0378090935
"Container feeder, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7711,,,,,,,,,0.0,,,,,,46272600.0,30.0,,,,,,,,,,,,,,,,,0.0,3728942.4151082435
"Container, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7094,,,,,,,,,0.0,,,,,,165488169.825,31.0,,,,,,,,,,,,,,,,,0.0,13205443.945579227
"Container, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.6399,,,,,,,,,0.0,,,,,,150443790.75,32.0,,,,,,,,,,,,,,,,,0.0,11896029.153221123
"Container, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7001,,,,,,,,,0.0,,,,,,157965980.2875,32.0,,,,,,,,,,,,,,,,,0.0,12490830.610882178
Diesel Bus city,,,,0.0,,0.0004,250.0,,0.1343,,,,,,,,,,,,,,0.07,,,,2.0824,,,,,,,,,0.0,,,,,,189551.0786,12.0,,,,,,,,,,,,,,,,,0.1343,23865.615951758486
Diesel Coach,,,,0.0,,0.0003,350.0,,0.1343,,,,,,,,,,,,,,0.07,,,,2.2009,,,,,,,,,0.0,,,,,,290816.5604,12.0,,,,,,,,,,,,,,,,,0.1343,36615.255737854066
Diesel Truck Semi-Trailer max 50 tons,,,,0.0,,0.0005,380.0,,0.1343,,,,,,,,,,,,,,0.07,,,,3.2963,,,,,,,,,0.0,,,,,,178556.7447,10.5,,,,,,,,,,,,,,,,,0.1343,24578.066483117556
Diesel Truck Solo max 26 tons,,,,0.0,,0.0004,254.1379,,0.1343,,,,,,,,,,,,,,0.07,,,,2.1867,,,,,,,,,0.0,,,,,,195445.2368,13.8,,,,,,,,,,,,,,,,,0.1343,22543.512695146343
Diesel Truck Trailer max 56 tons,,,,0.0,,0.0004,382.3529,,0.1343,,,,,,,,,,,,,,0.07,,,,3.3031,,,,,,,,,0.0,,,,,,223195.9309,13.8,,,,,,,,,,,,,,,,,0.1343,25744.39973125585
Enhanced Weathering,,,,0.0,,0.0,,,240.1501,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.1852,,0.0,,,,,,0.0,25.0,,,,,,,,,,,,,,,,,240.1501,0.0
FCV Bus city,,,,0.0,,0.0002,390.6897,,0.1231,,,,,,,,,,,,,,0.07,,,,1.5899,,,,,,,,,0.0,,,,,,406190.1963,12.0,,,,,,,,,,,,,,,,,0.1231,51140.96586673572
FCV Coach,,,,0.0,,0.0002,390.6897,,0.1197,,,,,,,,,,,,,,0.07,,,,1.5761,,,,,,,,,0.0,,,,,,448667.4956,12.0,,,,,,,,,,,,,,,,,0.1197,56489.02727589883
FCV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0004,513.7931,,0.1197,,,,,,,,,,,,,,0.07,,,,2.548,,,,,,,,,0.0,,,,,,175787.9248,10.5,,,,,,,,,,,,,,,,,0.1197,24196.766813838873
FCV Truck Solo max 26 tons,,,,0.0,,0.0002,381.0345,,0.1197,,,,,,,,,,,,,,0.07,,,,1.7064,,,,,,,,,0.0,,,,,,321868.6587,13.8,,,,,,,,,,,,,,,,,0.1197,37125.102135928544
FCV Truck Trailer max 56 tons,,,,0.0,,0.0002,381.0345,,0.1197,,,,,,,,,,,,,,0.07,,,,2.8363,,,,,,,,,0.0,,,,,,349619.3528,13.8,,,,,,,,,,,,,,,,,0.1197,40325.93367064984
FT fuel transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,44006711.0399,15.0,,,,,,,,,,,,,,,,,0.0,7032035.874946458
Fischer-Tropsch,,,,0.0,,6.35,,,5.6156,,,,,0.9,,0.326,,,,,,,0.07,,,,0.704,,,,0.2,,,0.007,,0.0,,,,,1.421,2139.2794,25.0,,,,,,,,,,,,,,,,,5.6156,319.41691369351514
Gasnetz,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,35.2054,30.0,,,,,,,,,,,,,,,,,0.0,3.717211570170073
General liquid hydrocarbon storage (crude),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,174.7634,30.0,,,,,,,,,,,,,,,,,0.0,25.006266371373727
General liquid hydrocarbon storage (product),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,218.4543,30.0,,,,,,,,,,,,,,,,,0.0,31.257840118537334
Gravity-Brick-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9274,,,,,,,,,0.0,,,,,,522511.1911,41.7,,,,,,,,,,,,,,,,,0.0,46728.406844147954
Gravity-Brick-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,197881.4914,41.7,,,,,,,,,,,,,,,,,0.0,14728.40689659458
Gravity-Water-Aboveground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,459720.1467,60.0,,,,,,,,,,,,,,,,,0.0,39641.31219669632
Gravity-Water-Aboveground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,153086.8088,60.0,,,,,,,,,,,,,,,,,0.0,10904.254825093562
Gravity-Water-Underground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,1138087.6802,60.0,,,,,,,,,,,,,,,,,0.0,98136.41921475982
Gravity-Water-Underground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,120682.1448,60.0,,,,,,,,,,,,,,,,,0.0,8596.0957057852
H2 (g) fill compressor station,,,,0.0,,1.7,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5981.7263,20.0,,,,,,,,,,,,,,,,,0.0,666.3219935523795
H2 (g) pipeline,,,,0.0,,3.1667,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.019,,0.0,,,,,,381.8331,50.0,,,,,,,,,,,,,,,,,0.0,39.75907775294197
H2 (g) pipeline repurposed,,,,0.0,,3.1667,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.019,,0.0,,,,,,162.7849,50.0,,,,,,,,,,,,,,,,,0.0,16.95027878962008
H2 (g) submarine pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.019,,0.0,,,,,,573.491,30.0,,,,,,,,,,,,,,,,,0.0,63.42030713599066
H2 (g) submarine pipeline repurposed,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.019,,0.0,,,,,,201.3699,30.0,,,,,,,,,,,,,,,,,0.0,22.268773016392107
H2 (l) storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1001.9525,20.0,,,,,,,,,,,,,,,,,0.0,114.61627793076937
H2 (l) transport ship,,,,0.0,,4.0,,,0.0,,,,11000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,495059153.8494,20.0,,,,,,,,,,,,,,,,,0.0,66532448.1018014
H2 evaporation,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,184.6277,20.0,,,,,,,,,,,,,,,,,0.0,22.043241276248082
H2 liquefaction,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.203,,0.0,,,,,1.017,1118.9556,20.0,,,,,,,,,,,,,,,,,0.0,133.59538286080007
H2 pipeline,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,356.6594,40.0,,,,,,,,,,,,,,,,,0.0,37.45249646517853
H2 production biomass gasification,,,,0.0,,5.0,,,0.6499,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.097,,0.0,,,,,,1863.9671,20.0,,,,,,,,,,,,,,,1.804,,0.6499,269.1436630581716
H2 production biomass gasification CC,,,,0.0,,5.0,,,0.6644,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.143,,0.0,,,,,,1890.8304,20.0,,,,,,,,,,,,,,,1.804,,0.6644,273.02253354029045
H2 production coal gasification,,,,0.0,,6.0,,,0.6427,,,,,,,,,,1.62,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,,,,,,506.7922,20.0,,,,,,,,,,,,,,,,,0.6427,78.24513050186117
H2 production coal gasification CC,,,,0.0,,7.56,,,0.1878,,,,,,,,,,1.62,,,,0.07,,,,1.0,,,,,,,0.023,,0.0,,,,,,524.99,20.0,,,,,,,,,,,,,,,,,0.1878,89.2445860859518
H2 production heavy oil partial oxidation,,,,0.0,,5.0,,,0.2022,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.063,,0.0,,,,,,623.6332,25.0,,,,,,,1.3,,,,,,,,,,0.2022,84.69594744797881
H2 production natural gas steam reforming,,,,0.0,,4.9,,,0.26,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.02,,0.0,1.25,,,,,228.627,20.0,,,,,,,,,,,,,,,,,0.26,32.78349443390332
H2 production natural gas steam reforming CC,,,,0.0,,6.0,,,0.1011,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.039,,0.0,1.4,,,,,276.2877,20.0,,,,,,,,,,,,,,,,,0.1011,42.656866349874896
H2 production solid biomass steam reforming,,,,0.0,,4.0,,,0.9388,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.044,,0.0,,,,,,750.0063,20.0,,,,,,,,,,,,,,,1.36,,0.9388,100.79554098287394
HVAC overhead,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,750.0,40.0,,,,,,,,,,,,,,,,,0.0,67.50685415520773
HVAC submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4510.0,40.0,,,,,,,,,,,,,,,,,0.0,451.04121631998254
HVAC underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4510.0,40.0,,,,,,,,,,,,,,,,,0.0,451.04121631998254
HVDC inverter pair,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,640.0,40.0,,,,,,,,,,,,,,,,,0.0,57.605848879110596
HVDC overhead,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,600.0,40.0,,,,,,,,,,,,,,,,,0.0,54.005483324166185
HVDC submarine,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3220.0,40.0,,,,,,,,,,,,,,,,,0.0,322.0294271730252
HVDC underground,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,4070.0,40.0,,,,,,,,,,,,,,,,,0.0,407.037195215594
Haber-Bosch,,,,0.0,,3.0,,,0.0284,,,,,,,,,,,,,,0.07,,,,1.0,,,,0.146,,,0.2473,,0.0,,,,,1.1484,1842.9888,30.0,,,,,,0.1597,,,,,,,,,,,0.0284,203.80950310325858
HighT-Molten-Salt-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,,,,,0.0,15951.309590398287
HighT-Molten-Salt-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4444,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,,,,,0.0,57958.74276823216
HighT-Molten-Salt-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,118324.6775,35.0,,,,,,,,,,,,,,,,,0.0,9530.101400686322
Hydrogen fuel cell (passenger cars),,,,0.0,,1.1,,,0.0,,,,,,,,,,,,,,0.07,,,,0.48,,,,,,,,,0.0,,,,,,41776.1995,15.0,,,,,,,,,,,,,,,,,0.0,5046.340340036875
Hydrogen fuel cell (trucks),,,,0.0,,13.1,,,0.0,,,,,,,,,,,,,,0.07,,,,0.56,,,,,,,,,0.0,,,,,,146475.709,15.0,,,,,,,,,,,,,,,,,0.0,35270.56337646884
Hydrogen-charger,,,,0.0,,0.6345,,,0.0,,,,,,,,,,,,,,0.07,,,,0.6963,,,,,,,,,0.0,,,,,,436509.8856,30.0,,,,,,,,,,,,,,,,,0.0,37946.41700168258
Hydrogen-discharger,,,,0.0,,0.5812,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4869,,,,,,,,,0.0,,,,,,476539.1764,30.0,,,,,,,,,,,,,,,,,0.0,41172.22405145979
Hydrogen-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,6010.0,30.0,,,,,,,,,,,,,,,,,0.0,510.1672851017782
LNG storage tank,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,838.182,20.0,,,,,,,,,,,,,,,,,0.0,95.88209128533353
LOHC chemical,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,3143.3365,20.0,,,,,,,,,,,,,,,,,0.0,296.7087288305652
LOHC dehydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,67762.6606,20.0,,,,,,,,,,,,,,,,,0.0,8429.195608181237
LOHC dehydrogenation (small scale),,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,1054903.7304,20.0,,,,,,,,,,,,,,,,,0.0,131222.5614019306
LOHC hydrogenation,,,,0.0,,3.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,0.004,,0.0,,,,,1.867,68472.6582,20.0,0.944,,,,,,,,,,,,,,,,0.0,8517.514286915926
LOHC loaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,192.0477,30.0,,,,,,,,,,,,,,,,,0.0,27.479414695580825
LOHC transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,44006711.0399,15.0,,,,,,,,,,,,,,,,,0.0,7032035.874946458
LOHC unloaded DBT storage,,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,170.1689,30.0,,,,,,,,,,,,,,,,,0.0,24.34885589044193
Lead-Acid-bicharger,,,,0.0,,2.4427,,,0.0,,,,,,,,,,,,,,0.07,,,,0.8832,,,,,,,,,0.0,,,,,,162012.1073,12.0,,,,,,,,,,,,,,,,,0.0,24355.116240277654
Lead-Acid-store,,,,0.0,,0.2542,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,403140.9306,12.0,,,,,,,,,,,,,,,,,0.0,51781.02911636077
Liquid fuels ICE (passenger cars),,,,0.0,,1.6,,,0.0,,,,,,,,,,,,,,0.07,,,,0.215,,,,,,,,,0.0,,,,,,31432.1077,15.0,,,,,,,,,,,,,,,,,0.0,3953.9901916831163
Liquid fuels ICE (trucks),,,,0.0,,17.1,,,0.0,,,,,,,,,,,,,,0.07,,,,0.373,,,,,,,,,0.0,,,,,,132416.1935,15.0,,,,,,,,,,,,,,,,,0.0,37181.75535816835
Liquid-Air-charger,,,,0.0,,0.366,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,598140.7616,35.0,,,,,,,,,,,,,,,,,0.0,48385.974633294456
Liquid-Air-discharger,,,,0.0,,0.5212,,,0.0,,,,,,,,,,,,,,0.07,,,,0.55,,,,,,,,,0.0,,,,,,419971.173,35.0,,,,,,,,,,,,,,,,,0.0,34624.92638290255
Liquid-Air-store,,,,0.0,,0.3208,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,199922.2004,35.0,,,,,,,,,,,,,,,,,0.0,16082.133577516739
Lithium-Ion-LFP-bicharger,,,,0.0,,2.1198,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,0.0,,,,,,102540.0181,16.0,,,,,,,,,,,,,,,,,0.0,13028.288417556156
Lithium-Ion-LFP-store,,,,0.0,,0.0447,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,297338.0207,16.0,,,,,,,,,,,,,,,,,0.0,31608.41354613178
Lithium-Ion-NMC-bicharger,,,,0.0,,2.1198,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9193,,,,,,,,,0.0,,,,,,102540.0181,13.0,,,,,,,,,,,,,,,,,0.0,14442.643437255965
Lithium-Ion-NMC-store,,,,0.0,,0.038,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,338948.3003,13.0,,,,,,,,,,,,,,,,,0.0,40684.2519593518
LowT-Molten-Salt-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,181297.9281,35.0,,,,,,,,,,,,,,,,,0.0,15951.309590398287
LowT-Molten-Salt-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.5394,,,,,,,,,0.0,,,,,,725191.7123,35.0,,,,,,,,,,,,,,,,,0.0,57958.74276823216
LowT-Molten-Salt-store,,,,0.0,,0.3308,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,72977.2095,35.0,,,,,,,,,,,,,,,,,0.0,5877.727462845855
MeOH transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,44006711.0399,15.0,,,,,,,,,,,,,,,,,0.0,7032035.874946458
Methanol steam reforming,,,,0.0,,4.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,22653.2297,20.0,,,1.201,,,,,,,,,,,,,,0.0,3044.433816917014
