technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
direct air capture,,,,0.0,,4.95,,,0.0,,,,,,,,,,,,0.15,0.2,0.07,,,,1.0,,,,,,,0.4,,0.0,,,1.6,1.0,,7544007.6068,20.0,,,,,,,,,,,,,,,,,0.0,1085529.3263718286
direct firing gas,,,,0.0,,1.1818,,,0.3514,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,18.992,15.0,,,,,,,,,,,,,,,,,0.3514,2.309666968321515
direct firing gas CC,,,,0.0,,1.1818,,,0.3514,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,18.992,15.0,,,,,,,,,,,,,,,,,0.3514,2.309666968321515
direct firing solid fuels,,,,0.0,,1.5,,,0.4182,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,278.5499,15.0,,,,,,,,,,,,,,,,,0.4182,34.76153023100288
direct firing solid fuels CC,,,,0.0,,1.5,,,0.4182,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,278.5499,15.0,,,,,,,,,,,,,,,,,0.4182,34.76153023100288
distribution grid reinforcement,,,,0.0,,2.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,188.6002,40.0,,,,,,,,,,,,,,,,,0.0,17.91874259339068
dry bulk carrier Capesize,,,,0.0,,4.0,,,0.0,,,,180000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,50293384.0456,25.0,,,,,,,,,,,,,,,,,0.0,6327436.659554508
electric arc furnace,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,1.0,,,,2312992.7323,40.0,,,,,,,,,,,,,,,,,0.0,867393.412760742
electric arc furnace with hbi and scrap,,,,0.0,,30.0,,,0.0,,,,,,,,,,,,,,0.07,,,20.0,1.0,,,,,,,0.6395,,0.0,,0.37,,,,2312992.7323,40.0,,,,,,,,,,,0.71,,,,,,0.0,867393.412760742
electric boiler steam,,,,0.0,,1.4571,,,1.1079,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,88.6295,25.0,,,,,,,,,,,,,,,,,1.1079,8.89676368050898
